합주실 이름,가격(시간당),기타 정보,네이버 지도,수용 인원 (오피셜),예약 방식,위치,장비,후기(요약)
뉴잭사운드,"₩15,000","악기대여 O, 주차 O",https://naver.me/FrKTKaR4,,"네이버톡톡, 전화, 카카오톡","성남, 야탑","AMPEG BA112, Mapex MERIDIAN, Marshall AVT100X, VOX AD100VT, YAMAHA MOTIF7, YAMAHA MOX8","- 푹신한 소파 있음
- 드럼 의자 높이 조절 어려움"
엠플사운드 A1 room,"₩25,000","악기대여 O, 주차 O",https://naver.me/5HSktW5b,10,사이트 예약,"서울, 역삼","410 cabinet, Black star HT STAGE100, Markbass mark3, Marshall DSK 100H, Pearl session studio classic, YAMAHA MOTIF7, YAMAHA S90XS","- [공통] 대여악기 상태가 괜찮음(에피폰 아이바)
- [공통] 기타스탠드가 케이블타이로 묶여있어서 좀 불안함
- [공통] 사장님 상주해 계셔서 도움 받기 좋음"
엠플사운드 A2 room,"₩25,000","악기대여 O, 주차 O",https://naver.me/5HSktW5b,10,사이트 예약,"서울, 역삼","Ashdown RM800, Black star HT STAGE100, Marshall JCM2000 TSL, Pearl Reference","- [공통] 대여악기 상태가 괜찮음(에피폰 아이바)
- [공통] 기타스탠드가 케이블타이로 묶여있어서 좀 불안함
- [공통] 사장님 상주해 계셔서 도움 받기 좋음"
엠플사운드 B1 room,"₩23,000","악기대여 O, 주차 O",https://naver.me/5HSktW5b,7,사이트 예약,"서울, 역삼","HARTKE HA4000, Marshall JCM2000 DSL, Orange crush pro 120, ROLAND Fantom X7, ROLAND RD700SX, TAMA Superstar Hyperdrive","- [공통] 대여악기 상태가 괜찮음(에피폰 아이바)
- [공통] 기타스탠드가 케이블타이로 묶여있어서 좀 불안함
- [공통] 사장님 상주해 계셔서 도움 받기 좋음"
엠플사운드 B2 room,"₩23,000","악기대여 O, 주차 O",https://naver.me/5HSktW5b,7,사이트 예약,"서울, 역삼","Ampeg PF-800, Black star HT STAGE100, GRETSCH Renown, KORG TR76, Marshall MG 100H, ROLAND RD-700NX","- [공통] 대여악기 상태가 괜찮음(에피폰 아이바)
- [공통] 기타스탠드가 케이블타이로 묶여있어서 좀 불안함
- [공통] 사장님 상주해 계셔서 도움 받기 좋음"
엠플사운드 C room,"₩18,000","악기대여 O, 주차 O",https://naver.me/5HSktW5b,5,사이트 예약,"서울, 역삼","Black star Club60, Kurzweil SP4-8, Markbass CMD201P, Marshall MG 100H, YAMAHA Oak Custom","- 좁아서 투기타라면 합주하기 힘들 듯
- [공통] 대여악기 상태가 괜찮음(에피폰 아이바)
- [공통] 기타스탠드가 케이블타이로 묶여있어서 좀 불안함
- [공통] 사장님 상주해 계셔서 도움 받기 좋음
"
고니뮤직랩,"₩19,900","악기대여 X, 주차 O, 할인 O (사용시간/날짜)",https://naver.me/5ncFtdwa,,"전화, 카카오톡","성남, 야탑","Fender Champion100, Markbass CMB 121P, Pearl Masters, YAMAHA CP4 STAGE, YAMAHA MOTIF ES6, YAMAHA THR 100H, Yamaha THRC212","- 대중교통 이용하면 역에서 버스 타고 가야하는 게 좀 불편
- 차로 지하주차장 이동 시 주의 필요. 공기질 매우 안 좋음
- 드럼 크래시 놋그릇 소리, 슬리퍼 흐물흐물해서 킥 치기 힘듦
- 55잭 넉넉하지 않음"
유앤미 뮤직앤미디어 스튜디오 A,"₩30,000","악기대여 O, 주차 O",https://naver.me/x60XvL5L,12,"네이버 예약, 전화","성남, 야탑","ASHDOWN EB LITE, Fender Mustang Combo, KORG TRITON, Kurzweil PC2X, Orange Crush Combo, YAMAHA Stage Custom","- 마샬(카본파이버? 콤보)앰프가 상태 안좋음. 볼륨이 12시 넘으면 찌그러지기 시작
- 넓어서 편함
-  [공통] 사장님이 믹서에 PA 못꽂게함
-  [공통] 대여악기 상태 매우안좋음"
유앤미 뮤직앤미디어 스튜디오 B,"₩20,000","악기대여 O, 주차 O",https://naver.me/x60XvL5L,7,"네이버 예약, 전화","성남, 야탑","Hartke HD50, Marshall MG101CFX, YAMAHA MODX8, YAMAHA Stage Custom","- 엄청좁음
- 곧 죽을거같은 리턴 안되는 마샬 콤보앰프와 자체 노이즈를 뿜어내는 펜더 프로파일링앰프. 샌드리턴 따위 없으니 바이패스 프리셋 찾아서 써야함
- [공통] 사장님이 믹서에 PA 못꽂게함
-  [공통] 대여악기 상태 매우안좋음"
텐마일즈 합주실,"₩18,000","악기대여 O, 주차 X",https://naver.me/GVWuN0KS,,전화,"서울, 양재","Black star Studio, Fender Rumble 500, Fender TwinReverb, Marshall JCM2000 DSL, YAMAHA Oak Custom, YAMAHA S90ES","- 마샬 펜더 블랙스타 앰프 종류별로 3개가 있는 대호감 합주실
- 인디밴드가 실제 사용하는 합주실이라 관리도 깔끔함
- 맥주 반입 가능
- 스네어 호감"
